kaggle_id,kaggle_name,db_team_id,match_type
1101,Abilene Chr,273,exact
1102,Air Force,418,exact
1103,Akron,157,exact
1104,Alabama,41,exact
1105,Alabama A&M,271,fuzzy
1106,Alabama St,337,exact
1107,SUNY Albany,-1,manual
1108,Alcorn St,226,exact
1109,Alliant Intl,373,fuzzy_loose
1110,American Univ,87,manual
1111,Appalachian St,-1,manual
1112,Arizona,9,exact
1113,Arizona St,-1,manual
1114,Ark Little Rock,315,manual
1115,Ark Pine Bluff,-1,manual
1116,Arkansas,39,exact
1117,Arkansas St,368,exact
1118,Armstrong St,45,fuzzy_loose
1119,Army,139,exact
1120,Auburn,28,exact
1121,Augusta,-1,manual
1122,Austin Peay,319,exact
1123,Ball St,145,exact
1124,Baylor,133,exact
1125,Belmont,316,exact
1126,Bethune-Cookman,-1,manual
1127,Binghamton,282,exact
1128,Birmingham So,215,manual
1129,Boise St,189,exact
1130,Boston College,335,exact
1131,Boston Univ,-1,manual
1132,Bowling Green,92,fuzzy_loose
1133,Bradley,317,exact
1134,Brooklyn,-1,manual
1135,Brown,99,exact
1136,Bryant,177,exact
1137,Bucknell,169,exact
1138,Buffalo,375,exact
1139,Butler,274,exact
1140,BYU,12,manual
1141,C Michigan,409,manual
1142,Cal Poly,241,manual
1143,California,188,exact
1144,Campbell,53,exact
1145,Canisius,-1,manual
1146,Cent Arkansas,55,fuzzy
1147,Centenary,698,fuzzy
1148,Central Conn,484,fuzzy
1149,Charleston So,234,exact
1150,Charlotte,429,fuzzy_loose
1151,Chattanooga,258,fuzzy_loose
1152,Chicago St,201,exact
1153,Cincinnati,172,manual
1154,Citadel,231,manual
1155,Clemson,227,exact
1156,Cleveland St,329,fuzzy_loose
1157,Coastal Car,301,manual
1158,Col Charleston,512,fuzzy_loose
1159,Colgate,-1,manual
1160,Colorado,222,exact
1161,Colorado St,127,manual
1162,Columbia,136,exact
1163,Connecticut,351,fuzzy_loose
1164,Coppin St,86,exact
1165,Cornell,106,manual
1166,Creighton,61,manual
1167,CS Bakersfield,-1,manual
1168,CS Fullerton,-1,manual
1169,CS Northridge,-1,manual
1170,CS Sacramento,164,manual
1171,Dartmouth,101,exact
1172,Davidson,230,exact
1173,Dayton,197,exact
1174,Delaware,336,fuzzy_loose
1175,Delaware St,336,exact
1176,Denver,111,exact
1177,DePaul,-1,manual
1178,Detroit,-1,manual
1179,Drake,380,exact
1180,Drexel,349,exact
1181,Duke,7,exact
1182,Duquesne,292,exact
1183,E Illinois,150,fuzzy
1184,E Kentucky,318,fuzzy
1185,E Michigan,179,fuzzy
1186,E Washington,38,manual
1187,East Carolina,185,exact
1188,SIUE,161,manual
1189,Elon,363,exact
1190,ETSU,276,manual
1191,Evansville,-1,manual
1192,F Dickinson,470,fuzzy_loose
1193,Fairfield,328,exact
1194,FL Atlantic,124,fuzzy_loose
1195,FGCU,71,manual
1196,Florida,30,exact
1197,Florida A&M,260,manual
1198,Florida Intl,373,exact
1199,Florida St,8,manual
1200,Fordham,454,exact
1201,Fresno St,245,exact
1202,Furman,392,manual
1203,G Washington,25,fuzzy
1204,Ga Southern,40,fuzzy
1205,Gardner Webb,264,fuzzy
1206,George Mason,357,exact
1207,Georgetown,247,exact
1208,Georgia,89,exact
1209,Georgia St,367,exact
1210,Georgia Tech,367,fuzzy_loose
1211,Gonzaga,1,exact
1212,Grambling,64,exact
1213,Grand Canyon,345,fuzzy_loose
1214,Hampton,207,exact
1215,Hardin-Simmons,-1,manual
1216,Hartford,-1,manual
1217,Harvard,78,exact
1218,Hawaii,661,fuzzy_loose
1219,High Point,379,exact
1220,Hofstra,364,fuzzy_loose
1221,Holy Cross,75,exact
1222,Houston,11,exact
